Date,Close/Last,Volume,Open,High,Low
03/09/2022,$58.8673,6475832,$59.0028,$59.9898,$58.7705
03/08/2022,$56.8674,6857079,$56.1449,$58.3512,$55.1869
03/07/2022,$55.0804,7120132,$57.2029,$57.548,$55.0224
03/04/2022,$57.5061,8441538,$58.2028,$58.3706,$56.461
03/03/2022,$59.6415,4622944,$61.2478,$61.4801,$59.3382
03/02/2022,$60.7446,4442828,$60.293,$61.2543,$60.0479
03/01/2022,$59.564,6732460,$61.2607,$61.9703,$59.2673
02/28/2022,$61.6155,6319108,$61.1317,$61.8153,$60.7253
02/25/2022,$62.1703,6972485,$60.2608,$62.8477,$60.035
02/24/2022,$59.6995,11392370,$58.4415,$60.0543,$56.5771
02/23/2022,$59.7705,7376523,$60.5059,$61.1962,$59.5511
02/22/2022,$60.7382,7694145,$59.764,$61.4316,$59.5898
02/18/2022,$59.7963,15644110,$63.4928,$63.8476,$59.2995
02/17/2022,$63.5186,3881022,$64.7379,$64.7895,$63.1445
02/16/2022,$65.4217,4891072,$64.5702,$65.7443,$64.4412
02/15/2022,$65.1056,6697616,$63.2154,$65.4024,$63.1896
02/14/2022,$62.3187,6960777,$62.3897,$62.8348,$61.6478
02/11/2022,$62.4671,7455454,$63.8799,$64.6605,$62.0413
02/10/2022,$63.7315,5512914,$63.4735,$64.9508,$63.2219
02/09/2022,$64.0283,6624205,$64.6734,$64.8153,$63.9444
02/08/2022,$64.067,5158353,$64.4992,$64.8347,$63.6283
02/07/2022,$64.4476,4385658,$64.1057,$64.8927,$63.5444
02/04/2022,$63.8735,6403566,$63.0283,$64.5444,$62.9896
02/03/2022,$63.4283,6213283,$62.6735,$63.9702,$62.2865
02/02/2022,$63.2477,5561406,$63.009,$63.596,$62.0349
02/01/2022,$63.1896,8149215,$61.2865,$63.4928,$61.1252
01/31/2022,$60.9511,7001570,$59.0996,$60.9994,$58.7254
01/28/2022,$59.4157,6478640,$57.6093,$59.4544,$57.319
01/27/2022,$57.9964,7804627,$58.0609,$59.2028,$56.8158
01/26/2022,$57.6222,10637160,$59.035,$59.2931,$56.8029
01/25/2022,$58.777,20951990,$58.7834,$59.5834,$56.9642
01/24/2022,$62.5187,9879456,$61.022,$62.8606,$59.5382
01/21/2022,$62.1252,8077410,$63.0283,$63.4477,$61.8413
01/20/2022,$63.3832,5635453,$64.6605,$65.6669,$63.2025
01/19/2022,$64.9121,5698958,$66.2475,$66.441,$64.8153
01/18/2022,$66.3765,8412995,$66.1636,$66.9184,$65.9056
01/14/2022,$66.5507,4380309,$65.583,$66.6217,$65.0992
01/13/2022,$66.0991,4382511,$65.9894,$66.8668,$65.6733
01/12/2022,$65.9572,4558453,$65.4346,$66.2009,$65.4024
01/11/2022,$65.6669,5673887,$64.6992,$66.0411,$64.4928
01/10/2022,$64.1379,5768666,$65.6217,$65.8024,$63.8283
01/07/2022,$65.4153,6248430,$64.3831,$65.9572,$64.3637
01/06/2022,$64.4799,4277011,$64.8024,$65.2089,$64.1379
01/05/2022,$64.1057,5894662,$64.3379,$65.6669,$64.0541
01/04/2022,$64.1057,7624083,$63.7251,$64.5444,$63.2799
